year,race_round,driver,lap,stop_number,duration_seconds,time_of_day
2023,1,gasly,9,1,25.885,18:18:56
2023,1,norris,10,1,32.766,18:20:31
2023,1,tsunoda,10,1,25.267,18:20:34
2023,1,bottas,11,1,25.399,18:22:06
2023,1,albon,11,1,25.054,18:22:12
2023,1,de_vries,11,1,25.018,18:22:21
2023,1,hulkenberg,11,1,26.075,18:22:21
2023,1,hamilton,12,1,24.682,18:23:40
2023,1,ocon,12,1,24.966,18:23:50
2023,1,sargeant,12,1,25.6,18:23:55
2023,1,zhou,12,1,25.787,18:24:01
2023,1,leclerc,13,1,24.345,18:25:06
2023,1,sainz,13,1,24.5,18:25:17
2023,1,russell,13,1,27.062,18:25:24
2023,1,max_verstappen,14,1,24.289,18:26:35
2023,1,alonso,14,1,25.8,18:27:02
2023,1,stroll,15,1,25.449,18:28:45
2023,1,kevin_magnussen,15,1,25.439,18:29:10
2023,1,ocon,15,2,41.462,18:29:11
2023,1,perez,17,1,24.264,18:31:42
2023,1,norris,17,2,33.661,18:32:38
2023,1,gasly,25,2,24.879,18:45:48
2023,1,albon,26,2,24.92,18:47:25
2023,1,tsunoda,26,2,24.372,18:47:26
2023,1,hulkenberg,26,2,37.769,18:47:41
2023,1,de_vries,27,2,25.234,18:49:16
2023,1,norris,27,3,33.467,18:49:35
2023,1,bottas,29,2,25.643,18:52:16
2023,1,kevin_magnussen,29,2,25.344,18:52:40
2023,1,hamilton,30,2,24.69,18:53:36
2023,2,piastri,1,1,31.534,20:05:36
2023,2,norris,2,1,29.444,20:07:18
2023,2,kevin_magnussen,8,1,20.87,20:16:55
2023,2,bottas,9,1,21.505,20:18:38
2023,2,zhou,11,1,21.703,20:21:41
2023,2,hulkenberg,11,1,21.567,20:21:43
2023,2,stroll,13,1,21.15,20:24:39
2023,2,gasly,14,1,20.719,20:26:26
2023,2,sainz,15,1,20.76,20:27:49
2023,2,leclerc,16,1,20.026,20:29:29
2023,2,ocon,16,1,20.762,20:29:34
2023,2,tsunoda,17,1,21.414,20:31:24
2023,2,albon,17,1,21.397,20:31:32
2023,2,de_vries,17,1,21.116,20:31:39
2023,2,bottas,17,2,22.191,20:32:08
2023,2,perez,18,1,20.715,20:32:46
2023,2,alonso,18,1,26.879,20:32:54
2023,2,russell,18,1,20.828,20:33:05
2023,2,max_verstappen,18,1,20.824,20:33:15
2023,2,hamilton,18,1,21.102,20:33:24
2023,2,sargeant,18,1,21.064,20:33:55
2023,2,zhou,18,2,21.282,20:34:06
2023,2,norris,19,2,21.352,20:36:25
2023,2,bottas,35,3,21.808,21:02:57
2023,4,gasly,5,1,20.235,15:13:22
2023,4,bottas,6,1,20.967,15:15:14
2023,4,albon,7,1,21.103,15:16:57
2023,4,tsunoda,8,1,20.497,15:18:43
2023,4,piastri,8,1,20.902,15:18:44
2023,4,sargeant,8,1,21.015,15:18:50
2023,4,hamilton,9,1,20.324,15:20:23
2023,4,norris,9,1,20.346,15:20:27
2023,4,max_verstappen,10,1,20.707,15:22:00
2023,4,kevin_magnussen,10,1,30.951,15:22:35
2023,4,perez,11,1,20.389,15:24:20
2023,4,leclerc,11,1,21.126,15:24:25
2023,4,sainz,11,1,21.97,15:24:33
2023,4,alonso,11,1,23.148,15:24:35
2023,4,stroll,11,1,23.161,15:24:42
2023,4,russell,11,1,20.459,15:24:42
2023,4,zhou,11,1,22.247,15:25:01
2023,4,bottas,12,2,22.354,15:27:47
2023,4,gasly,23,2,21.169,15:48:15
2023,4,bottas,34,3,21.012,16:08:14
2023,4,russell,49,2,21.389,16:34:10
2023,4,hulkenberg,49,1,24.748,16:34:47
2023,4,ocon,50,1,20.367,16:36:20
2023,5,sargeant,2,1,48.938,15:37:09
2023,5,norris,4,1,24.09,15:40:18
2023,5,piastri,5,1,22.205,15:41:49
2023,5,kevin_magnussen,14,1,22.616,15:55:45
2023,5,gasly,15,1,22.417,15:57:16
2023,5,bottas,15,1,23.158,15:57:23
2023,5,de_vries,15,1,23.487,15:57:33
2023,5,russell,17,1,22.335,16:00:18
2023,5,leclerc,17,1,22.068,16:00:25
2023,5,sainz,18,1,22.278,16:01:46
2023,5,perez,20,1,21.884,16:04:48
2023,5,albon,22,1,22.482,16:08:22
2023,5,alonso,24,1,22.631,16:11:02
2023,5,zhou,31,1,22.796,16:22:27
2023,5,hulkenberg,33,1,23.12,16:25:26
2023,5,tsunoda,36,1,22.39,16:30:01
2023,5,hamilton,37,1,22.15,16:31:29
2023,5,ocon,39,1,21.942,16:34:33
2023,5,stroll,42,1,22.651,16:39:18
2023,5,max_verstappen,45,1,22.688,16:42:58
2023,6,hulkenberg,1,1,32.494,15:04:32
2023,6,zhou,1,1,26.141,15:04:37
2023,6,perez,1,1,24.887,15:04:37
2023,6,albon,18,1,24.29,15:27:12
2023,6,sargeant,20,1,24.376,15:30:02
2023,6,sargeant,23,2,27.774,15:34:16
2023,6,hamilton,31,1,24.594,15:43:34
2023,6,ocon,32,1,25.833,15:44:45
2023,6,sainz,33,1,24.252,15:46:05
2023,6,perez,34,2,32.749,15:48:26
2023,6,leclerc,44,1,24.192,16:00:25
2023,6,gasly,47,1,23.902,16:04:16
2023,6,norris,50,1,24.663,16:08:48
2023,6,bottas,51,1,30.395,16:10:46
2023,6,stroll,51,1,24.656,16:10:52
2023,6,zhou,52,2,25.26,16:12:35
2023,6,albon,52,2,26.99,16:12:37
2023,6,tsunoda,53,1,33.706,16:13:18
2023,6,sargeant,52,3,25.946,16:13:19
2023,6,alonso,54,1,24.414,16:13:32
2023,6,de_vries,53,1,24.539,16:13:47
2023,6,russell,54,1,30.98,16:13:57
2023,6,ocon,54,2,24.707,16:14:06
2023,6,hamilton,54,2,26.685,16:14:09
2023,6,gasly,54,2,29.949,16:14:18
2023,6,perez,53,3,24.217,16:14:19
2023,6,max_verstappen,55,1,24.798,16:15:17
2023,6,piastri,54,1,25.851,16:15:18
2023,6,norris,54,2,33.428,16:15:20
2023,6,alonso,55,2,25.916,16:15:37
2023,7,norris,1,1,37.736,15:04:44
2023,7,bottas,5,1,23.691,15:10:18
2023,7,hulkenberg,8,1,22.298,15:14:21
2023,7,zhou,9,1,23.43,15:15:38
2023,7,de_vries,9,1,22.522,15:15:44
2023,7,tsunoda,10,1,22.176,15:17:01
2023,7,kevin_magnussen,10,1,22.124,15:17:06
2023,7,ocon,13,1,22.112,15:21:01
2023,7,stroll,14,1,22.355,15:22:19
2023,7,sainz,15,1,22.321,15:23:33
2023,7,leclerc,16,1,21.778,15:25:17
2023,7,albon,16,1,23.319,15:25:24
2023,7,piastri,17,1,22.37,15:26:32
2023,7,sargeant,17,1,22.583,15:26:49
2023,7,alonso,19,1,22.558,15:29:09
2023,7,gasly,19,1,23.388,15:29:18
2023,7,norris,22,2,22.85,15:33:50
2023,7,hamilton,24,1,22.575,15:35:37
2023,7,kevin_magnussen,24,2,24.8,15:36:26
2023,7,russell,25,1,22.275,15:37:07
2023,7,max_verstappen,26,1,22.241,15:38:06
2023,7,hulkenberg,26,2,23.257,15:39:04
2023,7,perez,27,1,21.775,15:39:57
2023,7,stroll,34,2,23.371,15:49:34
2023,7,tsunoda,34,2,22.009,15:49:38
2023,7,ocon,35,2,24.11,15:50:57
2023,7,zhou,36,2,22.889,15:52:25
2023,7,sargeant,36,2,23.827,15:52:53
2023,7,albon,37,2,23.449,15:54:12
2023,7,de_vries,38,2,21.976,15:55:17
2023,9,kevin_magnussen,1,1,26.587,15:04:16
2023,9,tsunoda,1,1,29.691,15:04:31
2023,9,max_verstappen,2,1,16.369,15:05:57
2023,9,leclerc,2,1,16.393,15:05:59
2023,9,sainz,2,1,16.38,15:06:01
2023,9,hamilton,2,1,16.415,15:06:03
2023,9,norris,2,1,18.076,15:06:05
2023,9,alonso,2,1,16.6,15:06:08
2023,9,hulkenberg,2,1,16.778,15:06:09
2023,9,stroll,2,1,16.646,15:06:11
2023,9,gasly,2,1,16.38,15:06:12
2023,9,albon,2,1,16.737,15:06:13
2023,9,russell,2,1,17.946,15:06:17
2023,9,ocon,2,1,18.143,15:06:19
2023,9,perez,2,1,17.428,15:06:20
2023,9,zhou,2,1,17.467,15:06:22
2023,9,piastri,2,1,17.324,15:06:23
2023,9,sargeant,2,1,17.337,15:06:25
2023,9,bottas,2,1,17.13,15:06:27
2023,9,de_vries,2,1,17.033,15:06:28
2023,9,kevin_magnussen,2,2,25.654,15:06:31
2023,9,tsunoda,2,2,16.246,15:06:33
2023,9,zhou,8,2,24.374,15:14:10
2023,9,hulkenberg,11,2,21.891,15:17:41
2023,9,de_vries,12,2,21.333,15:19:01
2023,9,hamilton,14,2,21.993,15:21:10
2023,9,norris,14,2,21.29,15:21:12
2023,9,gasly,14,2,21.814,15:21:20
2023,9,albon,14,2,21.562,15:21:22
2023,9,russell,14,2,22.262,15:21:23
2023,10,hulkenberg,7,1,41.972,15:14:17
2023,10,tsunoda,14,1,28.353,15:25:15
2023,10,leclerc,18,1,28.244,15:31:08
2023,10,zhou,24,1,29.177,15:40:56
2023,10,sainz,26,1,28.869,15:43:36
2023,10,de_vries,27,1,28.242,15:45:34
2023,10,russell,28,1,29.455,15:46:37
2023,10,perez,28,1,28.06,15:46:50
2023,10,piastri,29,1,28.655,15:48:05
2023,10,sargeant,29,1,28.847,15:48:37
2023,10,gasly,31,1,28.458,15:51:30
2023,10,stroll,31,1,28.561,15:51:39
2023,10,albon,32,1,29.634,15:53:10
2023,10,leclerc,32,2,28.805,15:53:11
2023,10,bottas,32,1,29.662,15:53:38
2023,10,tsunoda,32,2,28.603,15:53:48
2023,10,de_vries,32,2,28.413,15:53:55
2023,10,hulkenberg,32,2,30.003,15:54:11
2023,10,max_verstappen,33,1,29.056,15:54:29
2023,10,norris,33,1,28.438,15:54:43
2023,10,hamilton,33,1,29.169,15:54:58
2023,10,alonso,33,1,28.679,15:55:09
2023,10,zhou,33,2,28.709,15:56:08
2023,10,zhou,36,3,34.374,16:02:39
2023,11,albon,8,1,22.076,15:14:47
2023,11,stroll,9,1,21.91,15:16:10
2023,11,tsunoda,9,1,26.17,15:16:10
2023,11,bottas,9,1,22.114,15:16:11
2023,11,zhou,10,1,29.211,15:17:40
2023,11,sargeant,13,1,24.001,15:21:59
2023,11,kevin_magnussen,14,1,22.753,15:23:24
2023,11,sainz,15,1,21.402,15:24:37
2023,11,hamilton,16,1,21.974,15:25:56
2023,11,hulkenberg,16,1,22.922,15:26:11
2023,11,norris,17,1,21.541,15:27:16
2023,11,leclerc,17,1,28.404,15:27:23
2023,11,piastri,18,1,21.171,15:28:39
2023,11,ricciardo,18,1,21.958,15:29:10
2023,11,alonso,20,1,22.916,15:31:46
2023,11,max_verstappen,23,1,21.407,15:35:32
2023,11,perez,24,1,21.862,15:37:20
2023,11,russell,28,1,21.886,15:43:20
2023,11,ricciardo,29,2,22.203,15:45:13
2023,11,albon,31,2,21.762,15:47:54
2023,11,stroll,34,2,22.403,15:52:02
2023,11,sargeant,34,2,22.197,15:52:24
2023,11,hulkenberg,38,2,21.955,15:57:58
2023,11,zhou,38,2,22.853,15:58:02
2023,11,bottas,40,2,23.242,16:00:39
2023,11,kevin_magnussen,41,2,22.152,16:02:32
2023,11,piastri,42,2,22.03,16:02:48
2023,11,perez,42,2,20.88,16:02:51
2023,11,leclerc,43,2,21.452,16:04:31
2023,11,alonso,43,2,24.152,16:04:39
2023,12,norris,5,1,25.012,15:13:27
2023,12,kevin_magnussen,5,1,23.638,15:13:30
2023,12,ricciardo,5,1,22.843,15:13:31
2023,12,ocon,6,1,23.085,15:15:23
2023,12,bottas,6,1,23.362,15:15:24
2023,12,albon,7,1,25.015,15:17:14
2023,12,sainz,7,1,23.303,15:17:20
2023,12,zhou,7,1,24.449,15:17:21
2023,12,sargeant,8,1,23.57,15:19:14
2023,12,tsunoda,9,1,22.61,15:20:59
2023,12,alonso,10,1,23.085,15:22:48
2023,12,hamilton,12,1,23.09,15:26:27
2023,12,hulkenberg,12,1,24.571,15:26:56
2023,12,perez,13,1,23.684,15:28:09
2023,12,leclerc,13,1,23.224,15:28:16
2023,12,max_verstappen,14,1,22.887,15:30:04
2023,12,norris,17,2,23.744,15:36:37
2023,12,stroll,20,1,25.397,15:42:12
2023,12,russell,22,1,23.837,15:46:00
2023,12,ricciardo,22,2,23.29,15:46:18
2023,12,gasly,23,1,25.664,15:48:00
2023,12,albon,23,2,23.596,15:48:02
2023,12,tsunoda,24,2,22.737,15:49:52
2023,12,bottas,24,2,23.786,15:50:02
2023,12,hulkenberg,24,2,25.238,15:50:04
2023,12,sargeant,24,2,23.938,15:50:09
2023,12,ocon,25,2,23.339,15:51:50
2023,12,kevin_magnussen,25,2,23.572,15:51:55
2023,12,zhou,25,2,24.045,15:52:01
2023,12,hamilton,27,2,23.023,15:55:00
2023,13,perez,1,1,22.666,15:04:43
2023,13,leclerc,1,1,32.686,15:04:46
2023,13,gasly,1,1,28.469,15:04:47
2023,13,zhou,1,1,23.088,15:04:49
2023,13,tsunoda,1,1,32.321,15:04:50
2023,13,lawson,1,1,42.641,15:04:53
2023,13,kevin_magnussen,1,1,31.341,15:04:55
2023,13,max_verstappen,2,1,20.379,15:06:25
2023,13,alonso,2,1,20.647,15:06:26
2023,13,sainz,2,1,20.973,15:06:31
2023,13,ocon,2,1,22.534,15:06:39
2023,13,norris,3,1,20.17,15:08:18
2023,13,hamilton,3,1,20.266,15:08:35
2023,13,russell,4,1,21.201,15:10:00
2023,13,stroll,4,1,20.036,15:10:16
2023,13,kevin_magnussen,9,2,20.137,15:16:59
2023,13,hamilton,9,2,19.97,15:17:26
2023,13,stroll,9,2,20.208,15:17:44
2023,13,zhou,10,2,20.231,15:18:09
2023,13,alonso,10,2,20.109,15:18:10
2023,13,sainz,10,2,19.511,15:18:16
2023,13,tsunoda,10,2,18.904,15:18:24
2023,13,ocon,10,2,19.795,15:18:26
2023,13,norris,10,2,20.395,15:18:33
2023,13,lawson,10,2,30.836,15:18:37
2023,13,russell,10,2,20.148,15:18:55
2023,13,max_verstappen,11,2,19.289,15:19:24
2023,13,gasly,11,2,19.518,15:19:34
2023,13,leclerc,11,2,27.202,15:19:46
2023,13,perez,12,2,19.46,15:20:46
2023,14,gasly,10,1,27.376,15:38:07
2023,14,zhou,11,1,24.396,15:39:33
2023,14,kevin_magnussen,12,1,24.66,15:41:12
2023,14,lawson,13,1,24.212,15:42:27
2023,14,hulkenberg,14,1,26.095,15:43:56
2023,14,sargeant,14,1,24.779,15:43:57
2023,14,albon,15,1,24.538,15:45:13
2023,14,sainz,19,1,25.183,15:50:52
2023,14,russell,19,1,24.215,15:50:56
2023,14,max_verstappen,20,1,24.228,15:52:13
2023,14,leclerc,20,1,23.931,15:52:19
2023,14,stroll,20,1,25.667,15:52:50
2023,14,perez,21,1,23.819,15:53:46
2023,14,alonso,21,1,24.798,15:54:03
